venta_id,producto_id,producto_nombre,producto_marca,producto_categoria,producto_peso,cantidad,precio_unitario,subtotal
1,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,50,19.2,960.0
2,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,1,109.03,109.03
2,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,47,21.37,1004.39
2,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,18,19.41,349.38
3,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,28,18.52,518.56
3,11,LA RIBERA,LA RIBERA,BOLITA,420GR,44,19.7,866.8
3,4,HOLANDESA CHEDDAR,HOLANDESA,BARRA,3.500KG,2,133.59,267.18
4,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,35,19.2,672.0
5,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,52,21.98,1142.96
5,11,LA RIBERA,LA RIBERA,BOLITA,420GR,39,19.48,759.72
6,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,41,19.49,799.09
7,11,LA RIBERA,LA RIBERA,BOLITA,420GR,47,19.77,929.19
8,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,2,111.57,223.14
8,9,CRISTY CHEDDAR,CRISTY,LAMINADO,160GR,6,14.09,84.54
8,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,26,24.56,638.56
9,3,HOLANDESA BARRA,HOLANDESA,BARRA,3.500KG,1,117.65,117.65
9,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,44,24.9,1095.6
10,11,LA RIBERA,LA RIBERA,BOLITA,420GR,38,20.44,776.72
10,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,68,20.53,1396.04
10,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,29,19.53,566.37
11,14,SANTA ROSA,SANTA ROSA,BARRA,3.500KG,3,106.97,320.91
12,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,69,20.92,1443.48
12,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,46,19.49,896.54
12,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,42,24.55,1031.1
13,11,LA RIBERA,LA RIBERA,BOLITA,420GR,70,19.57,1369.9
13,4,HOLANDESA CHEDDAR,HOLANDESA,BARRA,3.500KG,3,129.01,387.03
14,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,77,18.51,1425.27
15,14,SANTA ROSA,SANTA ROSA,BARRA,3.500KG,1,105.79,105.79
16,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,43,18.46,793.78
16,14,SANTA ROSA,SANTA ROSA,BARRA,3.500KG,2,107.35,214.7
17,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,76,24.58,1868.08
17,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,65,18.38,1194.7
17,16,EL CORRALITO,CORRALITO,BARRA,3.500KG,3,121.53,364.59
18,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,77,25.02,1926.54
18,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,35,21.62,756.7
18,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,61,18.98,1157.78
19,14,SANTA ROSA,SANTA ROSA,BARRA,3.500KG,4,105.39,421.56
20,3,HOLANDESA BARRA,HOLANDESA,BARRA,3.500KG,1,117.12,117.12
21,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,68,18.71,1272.28
21,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,53,21.83,1156.99
22,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,86,20.53,1765.58
22,16,EL CORRALITO,CORRALITO,BARRA,3.500KG,1,121.43,121.43
22,14,SANTA ROSA,SANTA ROSA,BARRA,3.500KG,2,107.17,214.34
23,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,79,18.62,1470.98
24,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,55,20.15,1108.25
24,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,36,18.78,676.08
24,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,37,18.14,671.18
25,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,2,110.74,221.48
25,11,LA RIBERA,LA RIBERA,BOLITA,420GR,56,19.8,1108.8
25,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,77,19.17,1476.09
26,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,2,108.31,216.62
26,4,HOLANDESA CHEDDAR,HOLANDESA,BARRA,3.500KG,1,128.98,128.98
27,8,CRISTY LAMINADO 500,CRISTY,LAMINADO,500GR,11,35.83,394.13
27,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,41,25.0,1025.0
28,14,SANTA ROSA,SANTA ROSA,BARRA,3.500KG,1,107.79,107.79
28,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,25,19.89,497.25
28,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,28,18.85,527.8
29,4,HOLANDESA CHEDDAR,HOLANDESA,BARRA,3.500KG,3,131.76,395.28
29,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,31,20.13,624.03
30,11,LA RIBERA,LA RIBERA,BOLITA,420GR,70,19.51,1365.7
30,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,63,21.59,1360.17
30,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,48,25.6,1228.8
31,11,LA RIBERA,LA RIBERA,BOLITA,420GR,41,19.92,816.72
31,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,1,109.6,109.6
32,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,106,18.69,1981.14
32,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,61,18.99,1158.39
32,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,40,19.51,780.4
33,6,CRISTY BARRA,CRISTY,BARRA,3.500KG,2,114.45,228.9
33,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,57,19.24,1096.68
33,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,82,24.81,2034.42
34,3,HOLANDESA BARRA,HOLANDESA,BARRA,3.500KG,2,120.14,240.28
35,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,17,20.5,348.5
35,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,32,24.43,781.76
35,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,30,19.19,575.7
36,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,54,20.43,1103.22
36,11,LA RIBERA,LA RIBERA,BOLITA,420GR,52,20.24,1052.48
36,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,42,19.0,798.0
37,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,56,20.33,1138.48
37,3,HOLANDESA BARRA,HOLANDESA,BARRA,3.500KG,2,121.82,243.64
38,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,17,18.88,320.96
38,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,39,21.12,823.68
38,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,24,20.49,491.76
39,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,52,20.46,1063.92
39,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,25,19.01,475.25
40,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,24,18.56,445.44
40,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,2,111.35,222.7
41,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,39,19.79,771.81
42,11,LA RIBERA,LA RIBERA,BOLITA,420GR,37,19.57,724.09
42,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,35,19.15,670.25
43,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,69,21.52,1484.88
43,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,30,25.21,756.3
44,3,HOLANDESA BARRA,HOLANDESA,BARRA,3.500KG,1,120.52,120.52
44,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,48,20.38,978.24
44,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,53,21.68,1149.04
45,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,50,18.44,922.0
46,11,LA RIBERA,LA RIBERA,BOLITA,420GR,64,19.8,1267.2
46,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,68,18.77,1276.36
47,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,61,18.52,1129.72
48,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,42,18.19,763.98
48,11,LA RIBERA,LA RIBERA,BOLITA,420GR,36,20.54,739.44
48,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,70,24.28,1699.6
49,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,38,20.55,780.9
50,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,103,19.78,2037.34
50,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,56,19.16,1072.96
51,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,72,20.59,1482.48
51,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,2,107.47,214.94
51,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,110,18.89,2077.9
52,16,EL CORRALITO,CORRALITO,BARRA,3.500KG,1,126.14,126.14
52,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,49,20.88,1023.12
53,11,LA RIBERA,LA RIBERA,BOLITA,420GR,89,20.43,1818.27
53,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,71,19.0,1349.0
54,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,95,19.97,1897.15
54,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,1,110.72,110.72
55,11,LA RIBERA,LA RIBERA,BOLITA,420GR,74,19.99,1479.26
55,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,81,18.36,1487.16
55,6,CRISTY BARRA,CRISTY,BARRA,3.500KG,1,115.74,115.74
56,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,85,18.74,1592.9
57,11,LA RIBERA,LA RIBERA,BOLITA,420GR,58,20.58,1193.64
57,3,HOLANDESA BARRA,HOLANDESA,BARRA,3.500KG,4,121.69,486.76
58,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,25,21.58,539.5
58,16,EL CORRALITO,CORRALITO,BARRA,3.500KG,2,122.91,245.82
59,7,CRISTY LAMINADO,CRISTY,LAMINADO,160GR,18,12.01,216.18
60,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,53,25.13,1331.89
60,6,CRISTY BARRA,CRISTY,BARRA,3.500KG,3,111.82,335.46
60,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,42,20.54,862.68
61,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,61,18.96,1156.56
61,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,35,20.18,706.3
61,11,LA RIBERA,LA RIBERA,BOLITA,420GR,63,20.12,1267.56
62,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,54,19.11,1031.94
62,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,65,21.99,1429.35
63,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,49,25.31,1240.19
63,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,49,21.09,1033.41
64,16,EL CORRALITO,CORRALITO,BARRA,3.500KG,2,127.56,255.12
64,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,80,25.36,2028.8
64,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,45,19.19,863.55
65,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,52,20.44,1062.88
66,11,LA RIBERA,LA RIBERA,BOLITA,420GR,35,20.01,700.35
66,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,54,19.37,1045.98
66,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,64,18.13,1160.32
67,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,47,20.51,963.97
67,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,59,18.46,1089.14
67,16,EL CORRALITO,CORRALITO,BARRA,3.500KG,2,126.49,252.98
68,11,LA RIBERA,LA RIBERA,BOLITA,420GR,55,19.59,1077.45
69,4,HOLANDESA CHEDDAR,HOLANDESA,BARRA,3.500KG,3,133.5,400.5
69,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,29,21.7,629.3
69,9,CRISTY CHEDDAR,CRISTY,LAMINADO,160GR,13,13.89,180.57
70,16,EL CORRALITO,CORRALITO,BARRA,3.500KG,3,123.94,371.82
70,11,LA RIBERA,LA RIBERA,BOLITA,420GR,46,19.74,908.04
71,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,45,18.93,851.85
71,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,51,19.36,987.36
71,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,30,18.59,557.7
72,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,36,19.23,692.28
72,11,LA RIBERA,LA RIBERA,BOLITA,420GR,29,19.83,575.07
73,11,LA RIBERA,LA RIBERA,BOLITA,420GR,70,19.7,1379.0
74,14,SANTA ROSA,SANTA ROSA,BARRA,3.500KG,1,107.88,107.88
75,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,55,18.65,1025.75
76,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,56,25.57,1431.92
77,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,39,18.08,705.12
