venta_id,producto_id,producto_nombre,producto_marca,producto_categoria,producto_peso,cantidad,precio_unitario,subtotal
1,25,SAN JAVIER PREMIUM,SAN JAVIER,BARRA,4KG,6,145.9,875.4
1,8,CRISTY LAMINADO 500,CRISTY,LAMINADO,500GR,35,33.55,1174.25
1,21,HOLANDESA MINI,HOLANDESA,BOLITA,200GR,55,15.4,847.0
1,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,68,22.08,1501.44
2,9,CRISTY CHEDDAR,CRISTY,LAMINADO,160GR,18,14.04,252.72
2,7,CRISTY LAMINADO,CRISTY,LAMINADO,160GR,13,11.88,154.44
3,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,43,18.12,779.16
4,10,CRISTY CHEDDAR 500,CRISTY,LAMINADO,500GR,32,38.24,1223.68
4,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,72,22.15,1594.8
4,11,LA RIBERA,LA RIBERA,BOLITA,420GR,42,19.63,824.46
4,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,78,20.95,1634.1
5,21,HOLANDESA MINI,HOLANDESA,BOLITA,200GR,65,15.75,1023.75
5,7,CRISTY LAMINADO,CRISTY,LAMINADO,160GR,17,12.04,204.68
6,25,SAN JAVIER PREMIUM,SAN JAVIER,BARRA,4KG,4,136.62,546.48
6,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,40,19.05,762.0
7,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,18,22.14,398.52
7,9,CRISTY CHEDDAR,CRISTY,LAMINADO,160GR,26,14.16,368.16
8,25,SAN JAVIER PREMIUM,SAN JAVIER,BARRA,4KG,7,138.23,967.61
8,15,QUE QUESITOS,QUE QUESITOS,BOLITA,420GR,84,18.35,1541.4
9,16,EL CORRALITO,CORRALITO,BARRA,3.500KG,2,120.71,241.42
10,7,CRISTY LAMINADO,CRISTY,LAMINADO,160GR,14,11.48,160.72
10,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,11,26.2,288.2
11,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,48,24.98,1199.04
11,1,SAN JAVIER,SAN JAVIER,BOLITA,420GR,39,22.11,862.29
11,25,SAN JAVIER PREMIUM,SAN JAVIER,BARRA,4KG,5,138.91,694.55
12,21,HOLANDESA MINI,HOLANDESA,BOLITA,200GR,52,14.3,743.6
12,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,3,105.43,316.29
12,7,CRISTY LAMINADO,CRISTY,LAMINADO,160GR,17,12.18,207.06
13,24,CHIQUITANO LIGHT,CHIQUITANO,BOLITA,300GR,36,17.15,617.4
13,25,SAN JAVIER PREMIUM,SAN JAVIER,BARRA,4KG,2,146.59,293.18
13,25,SAN JAVIER PREMIUM,SAN JAVIER,BARRA,4KG,2,143.5,287.0
13,9,CRISTY CHEDDAR,CRISTY,LAMINADO,160GR,22,14.24,313.28
13,17,SAN JAVIER BLOQUE,SAN JAVIER,QUESO ARTESANAL,8KG,1,246.34,246.34
13,10,CRISTY CHEDDAR 500,CRISTY,LAMINADO,500GR,18,39.43,709.74
14,5,CRISTY BOLITA,CRISTY,BOLITA,420GR,14,20.13,281.82
15,9,CRISTY CHEDDAR,CRISTY,LAMINADO,160GR,51,14.03,715.53
16,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,4,115.25,461.0
16,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,35,18.41,644.35
16,23,LA RIBERA ESPECIAL,LA RIBERA,BARRA,2KG,2,82.2,164.4
16,7,CRISTY LAMINADO,CRISTY,LAMINADO,160GR,49,11.49,563.01
16,17,SAN JAVIER BLOQUE,SAN JAVIER,QUESO ARTESANAL,8KG,4,257.41,1029.64
16,8,CRISTY LAMINADO 500,CRISTY,LAMINADO,500GR,29,34.36,996.44
17,25,SAN JAVIER PREMIUM,SAN JAVIER,BARRA,4KG,4,141.25,565.0
18,8,CRISTY LAMINADO 500,CRISTY,LAMINADO,500GR,24,33.5,804.0
18,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,48,19.24,923.52
18,16,EL CORRALITO,CORRALITO,BARRA,3.500KG,2,118.75,237.5
18,17,SAN JAVIER BLOQUE,SAN JAVIER,QUESO ARTESANAL,8KG,1,261.42,261.42
19,3,HOLANDESA BARRA,HOLANDESA,BARRA,3.500KG,4,122.76,491.04
19,10,CRISTY CHEDDAR 500,CRISTY,LAMINADO,500GR,28,38.24,1070.72
19,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,49,17.77,870.73
20,4,HOLANDESA CHEDDAR,HOLANDESA,BARRA,3.500KG,1,129.36,129.36
21,23,LA RIBERA ESPECIAL,LA RIBERA,BARRA,2KG,4,86.25,345.0
21,7,CRISTY LAMINADO,CRISTY,LAMINADO,160GR,46,11.85,545.1
21,2,HOLANDESA BOLITA,HOLANDESA,BOLITA,500GR,81,24.98,2023.38
21,17,SAN JAVIER BLOQUE,SAN JAVIER,QUESO ARTESANAL,8KG,1,255.36,255.36
21,21,HOLANDESA MINI,HOLANDESA,BOLITA,200GR,75,15.45,1158.75
22,13,LA MARAVILLA,LA MARAVILLA,BARRA,3.500KG,2,113.77,227.54
22,12,CHIQUITANO,CHIQUITANO,BOLITA,420GR,23,17.91,411.93
22,7,CRISTY LAMINADO,CRISTY,LAMINADO,160GR,10,12.08,120.8
22,17,SAN JAVIER BLOQUE,SAN JAVIER,QUESO ARTESANAL,8KG,2,259.24,518.48
22,21,HOLANDESA MINI,HOLANDESA,BOLITA,200GR,18,15.72,282.96
22,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,23,18.4,423.2
23,11,LA RIBERA,LA RIBERA,BOLITA,420GR,64,19.07,1220.48
24,19,CHIQUITANO PVC,CHIQUITANO,BOLITA,420GR,75,19.21,1440.75
24,22,CRISTY MOZARELLA,CRISTY,LAMINADO,200GR,25,18.53,463.25
24,8,CRISTY LAMINADO 500,CRISTY,LAMINADO,500GR,55,35.45,1949.75
24,4,HOLANDESA CHEDDAR,HOLANDESA,BARRA,3.500KG,3,124.14,372.42
24,17,SAN JAVIER BLOQUE,SAN JAVIER,QUESO ARTESANAL,8KG,6,250.67,1504.02
25,11,LA RIBERA,LA RIBERA,BOLITA,420GR,25,20.97,524.25
26,21,HOLANDESA MINI,HOLANDESA,BOLITA,200GR,20,15.23,304.6
26,7,CRISTY LAMINADO,CRISTY,LAMINADO,160GR,14,12.05,168.7
27,9,CRISTY CHEDDAR,CRISTY,LAMINADO,160GR,9,13.69,123.21
28,3,HOLANDESA BARRA,HOLANDESA,BARRA,3.500KG,2,121.99,243.98
