cliente_id,producto_id,cantidad_total,valor_total,frecuencia_compra,tipo_negocio,ciudad,categoria,marca,cantidad_norm,valor_norm,frecuencia_norm,rating
1,1,732,15646.33,14,PIZZERIA,El ALTO,BOLITA,SAN JAVIER,1.1182266343536276,0.9912467593409787,-0.08655742749796379,2.5834255570751417
1,2,501,12527.23,10,PIZZERIA,El ALTO,BOLITA,HOLANDESA,0.42567775863287627,0.48740068680956633,-0.6969211430506155,2.1657633265333334
1,3,16,1957.0900000000001,5,PIZZERIA,El ALTO,BARRA,HOLANDESA,-1.0283750756725971,-1.2200545166488614,-1.45987578749143,1.1802851529979714
1,4,17,2207.2200000000003,6,PIZZERIA,El ALTO,BARRA,HOLANDESA,-1.0253770285915549,-1.1796495863413103,-1.3072848586032673,1.2135791663361513
1,5,467,9247.93,10,PIZZERIA,El ALTO,BOLITA,CRISTY,0.32374415787744104,-0.042323408491084444,-0.6969211430506155,1.9900683096587328
1,6,23,2673.2,7,PIZZERIA,El ALTO,BARRA,CRISTY,-1.0073887461053015,-1.1043771702988021,-1.1546939297151042,1.2607410597171844
1,7,319,3816.99,13,PIZZERIA,El ALTO,LAMINADO,CRISTY,-0.1199668101168065,-0.9196142260838992,-0.23914835638612672,1.6862974010332734
1,8,256,8876.42,10,PIZZERIA,El ALTO,LAMINADO,CRISTY,-0.30884377622246595,-0.10233554481442934,-0.6969211430506155,1.7974222264713633
1,9,331,4665.1,14,PIZZERIA,El ALTO,LAMINADO,CRISTY,-0.08399024514429995,-0.782614164343456,-0.08655742749796379,1.7556322077421163
1,10,367,14543.6,16,PIZZERIA,El ALTO,LAMINADO,CRISTY,0.02393944977321972,0.8131164718982663,0.21862443027836206,2.2719468168948707
1,11,336,6636.87,7,PIZZERIA,El ALTO,BOLITA,LA RIBERA,-0.06900000973908889,-0.4641028724851435,-1.1546939297151042,1.6998447549010285
1,12,380,6951.57,7,PIZZERIA,El ALTO,BOLITA,CHIQUITANO,0.0629140618267685,-0.41326758056579643,-1.1546939297151042,1.7506763250723902
1,13,46,5024.91,13,PIZZERIA,El ALTO,BARRA,LA MARAVILLA,-0.9384336632413307,-0.724491995975168,-0.23914835638612672,1.5129146579063266
1,14,7,716.9300000000001,3,PIZZERIA,El ALTO,BARRA,SANTA ROSA,-1.055357499401977,-1.4203846584559712,-1.765057645267756,1.0746153396157998
1,15,852,16227.54,13,PIZZERIA,El ALTO,BOLITA,QUE QUESITOS,1.477992284078693,1.0851329367049563,-0.23914835638612672,2.688386888056468
1,16,36,4429.16,11,PIZZERIA,El ALTO,BARRA,CORRALITO,-0.9684141340517528,-0.8207269027465407,-0.5443302141624525,1.4353649359195073
1,17,41,10307.71,17,PIZZERIA,El ALTO,QUESO ARTESANAL,SAN JAVIER,-0.9534238986465418,0.1288689196636203,0.371215359166525,1.8309927621028166
1,18,1,121.97,1,PIZZERIA,El ALTO,BARRA LAMINADA,CRISTY,-1.0733457818882302,-1.516491952006447,-2.070239503044082,1.0004367294673582
1,19,586,11114.6,11,PIZZERIA,El ALTO,BOLITA,CHIQUITANO,0.6805117605214643,0.25921047891624827,-0.5443302141624525,2.1943957881679887
1,20,3,358.85,2,PIZZERIA,El ALTO,BARRA LAMINADA,CRISTY,-1.067349687726146,-1.4782273700240671,-1.9176485741559188,1.033969310938764
1,21,931,13905.98,17,PIZZERIA,El ALTO,BOLITA,HOLANDESA,1.7148380034810278,0.7101180644193528,0.371215359166525,2.734841320872961
1,22,237,4255.71,8,PIZZERIA,El ALTO,LAMINADO,CRISTY,-0.36580667076226797,-0.8487452738409504,-1.0021030008269414,1.531521828948017
1,23,35,2958.48,8,PIZZERIA,El ALTO,BARRA,LA RIBERA,-0.971412181132795,-1.0582942593399483,-1.0021030008269414,1.304787343163352
1,24,258,4296.64,7,PIZZERIA,El ALTO,BOLITA,CHIQUITANO,-0.3028476820603815,-0.8421336167127048,-1.1546939297151042,1.5296513267326026
1,25,44,6147.1,11,PIZZERIA,El ALTO,BARRA,SAN JAVIER,-0.9444297574034151,-0.5432182233696004,-0.5443302141624525,1.5192249567768052
2,1,701,15088.75,14,PIZZERIA,El ALTO,BOLITA,SAN JAVIER,1.0252871748413188,0.9011776711033253,-0.08655742749796379,2.5325218950349493
2,2,657,16281.44,12,PIZZERIA,El ALTO,BOLITA,HOLANDESA,0.8933731032754615,1.0938397121560297,-0.39173928527428964,2.506975858942017
2,3,78,9204.82,16,PIZZERIA,El ALTO,BARRA,HOLANDESA,-0.8424961566479798,-0.049287213494716736,0.21862443027836206,1.791071731472346
2,4,47,6181.04,11,PIZZERIA,El ALTO,BARRA,HOLANDESA,-0.9354356161602885,-0.5377357009427093,-0.5443302141624525,1.523251627683647
2,5,716,14213.82,17,PIZZERIA,El ALTO,BOLITA,CRISTY,1.070257881056952,0.7598452212812905,0.371215359166525,2.569383506498344
2,6,51,5822.5199999999995,17,PIZZERIA,El ALTO,BARRA,CRISTY,-0.9234434278361195,-0.5956494882287733,0.371215359166525,1.637807663056968
2,7,497,6024.82,22,PIZZERIA,El ALTO,LAMINADO,CRISTY,0.4136855703087074,-0.5629708115357834,1.1341700036073397,2.1249260010927946
2,8,500,17574.0,23,PIZZERIA,El ALTO,LAMINADO,CRISTY,0.42267971155183404,1.3026343258302313,1.2867609324955025,2.6675656094462266
2,9,520,7216.33,21,PIZZERIA,El ALTO,LAMINADO,CRISTY,0.4826406531726783,-0.3704993826358112,0.9815790747191767,2.1764200344687255
2,10,456,18184.239999999998,19,PIZZERIA,El ALTO,LAMINADO,CRISTY,0.29076563998597665,1.4012098852228663,0.6763972169428508,2.5734064747091097
2,11,657,12976.45,15,PIZZERIA,El ALTO,BOLITA,LA RIBERA,0.8933731032754615,0.5599657641403867,0.06603350139019915,2.422143846443454
2,12,1069,19958.54,20,PIZZERIA,El ALTO,BOLITA,CHIQUITANO,2.128568500664853,1.6878227179286103,0.8289881458310138,3.185532292893559
2,13,58,6296.79,14,PIZZERIA,El ALTO,BARRA,LA MARAVILLA,-0.9024570982688241,-0.5190379410454597,-0.08655742749796379,1.601289880909652
2,14,66,6884.55,14,PIZZERIA,El ALTO,BARRA,SANTA ROSA,-0.8784727216204864,-0.4240937046980958,-0.08655742749796379,1.634369767053076
2,15,548,10456.4,14,PIZZERIA,El ALTO,BOLITA,QUE QUESITOS,0.5665859714418603,0.15288766626510658,-0.08655742749796379,2.1967983820897605
2,16,56,6918.51,13,PIZZERIA,El ALTO,BARRA,CORRALITO,-0.9084531924309085,-0.4186079515567516,-0.23914835638612672,1.6063350690548845
2,17,97,24185.829999999998,35,PIZZERIA,El ALTO,QUESO ARTESANAL,SAN JAVIER,-0.7855332621081778,2.3706810629484276,3.117852079153457,2.8832366707055535
2,18,3,359.42,2,PIZZERIA,El ALTO,BARRA LAMINADA,CRISTY,-1.067349687726146,-1.4781352946621542,-1.9176485741559188,1.0339949216174056
2,19,1068,20144.05,22,PIZZERIA,El ALTO,BOLITA,CHIQUITANO,2.125570453583811,1.7177892098382321,1.1341700036073397,3.2354765702959116
2,20,3,364.59000000000003,2,PIZZERIA,El ALTO,BARRA LAMINADA,CRISTY,-1.067349687726146,-1.4773001549760307,-1.9176485741559188,1.0342272149657843
2,21,775,11506.42,16,PIZZERIA,El ALTO,BOLITA,HOLANDESA,1.2471426588384427,0.3225034057667044,0.21862443027836206,2.475716102583218
2,22,471,8500.98,19,PIZZERIA,El ALTO,LAMINADO,CRISTY,0.33573634620160986,-0.16298251652780618,0.6763972169428508,2.1508363341094325
